_id,title,통검url3,통검노출,PDF 노출,비고
68d0f1fcd8b2ed02dfd97db0,랜덤 포레스트를 활용한 학생과 교사의 피드백 경험 예측요인 탐색,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf164&query=랜덤 포레스트를 활용한 학생과 교사의 피드백 경험 예측요인 탐색,Y,Y,
68d0f1fcd8b2ed02dfd99304,임신당뇨병 조기진단의 필요성,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf171&query=임신당뇨병 조기진단의 필요성,Y,Y,
68d0f1fcd8b2ed02dfd9a9f0,와우 세포주에서 겐타마이신에 의해 유발된 세포자멸사의 특성,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf175&query=와우 세포주에서 겐타마이신에 의해 유발된 세포자멸사의 특성,Y,Y,
68d0f1fcd8b2ed02dfd9a9fa,외이도 종물로 발견된 청신경종 1예,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf176&query=외이도 종물로 발견된 청신경종 1예,Y,Y,
68d0f1fcd8b2ed02dfd9aa26,해외여행 관련 질환의 역학과 여행의학의 감염병 관리,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf179&query=해외여행 관련 질환의 역학과 여행의학의 감염병 관리,Y,Y,
68d0f1fcd8b2ed02dfd9b39a,군병사의 비합리적 신념과 정신건강: 자기효능감의 매개효과,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf182&query=군병사의 비합리적 신념과 정신건강: 자기효능감의 매개효과,Y,Y,
68d0f1fcd8b2ed02dfd9b3c9,가계 소득수준과 치과의료서비스 지출 경향,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf184&query=가계 소득수준과 치과의료서비스 지출 경향,Y,Y,
68d0f1fcd8b2ed02dfd9af2b,한국인 이상지질혈증의 역학,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf209&query=한국인 이상지질혈증의 역학,Y,Y,
68d0f1fcd8b2ed02dfd9af38,새로운 경구용 항응고제 사용 중 발생한 하대정맥 필터의 혈전성 폐쇄,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf217&query=새로운 경구용 항응고제 사용 중 발생한 하대정맥 필터의 혈전성 폐쇄,Y,Y,
68d0f1fcd8b2ed02dfd9af61,Seckel 증후군 환자의 전신마취경험,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf239&query=Seckel 증후군 환자의 전신마취경험,Y,Y,
68d0f1fcd8b2ed02dfd9b8ca,국내 우주환경 자료 보유 현황 : 자기권,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf241&query=국내 우주환경 자료 보유 현황 : 자기권,Y,Y,
68d0f1fcd8b2ed02dfd9ba0b,SRCNN 품질 향상 처리를 이용한 비선형 에지 보강을 위한 CartoonGAN 이미지 품질 향상에 관한 연구,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf242&query=SRCNN 품질 향상 처리를 이용한 비선형 에지 보강을 위한 CartoonGAN 이미지 품질 향상에 관한 연구,Y,Y,
68d0f1fcd8b2ed02dfd9ba58,일 지역 초등학생의 알레르기질환 유병의 환경적 영향 요인,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf243&query=일 지역 초등학생의 알레르기질환 유병의 환경적 영향 요인,Y,Y,
68d0f1fcd8b2ed02dfd9c1da,안와에 발생한 단발성 피지낭종 1예,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf249&query=안와에 발생한 단발성 피지낭종 1예,Y,Y,
68d0f1fcd8b2ed02dfd9c1dc,구강 작열 증후군과 혈액학적 이상 사이의 상관 관계에 대한 분석,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf250&query=구강 작열 증후군과 혈액학적 이상 사이의 상관 관계에 대한 분석,Y,Y,
68d0f1fcd8b2ed02dfd9c1de,한국인에서 성별 및 연령대에 따른 미각역치의 차이,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf251&query=한국인에서 성별 및 연령대에 따른 미각역치의 차이,Y,Y,
68d0f1fcd8b2ed02dfd9c201,안전상비의약품 약국 외 판매의 의의와 과제,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf252&query=안전상비의약품 약국 외 판매의 의의와 과제,Y,Y,
68d0f1fcd8b2ed02dfd9c461,실리콘과 카본을 이용한 다공질 탄화규소의 제조와 기계적 특성,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf260&query=실리콘과 카본을 이용한 다공질 탄화규소의 제조와 기계적 특성,Y,Y,
68d0f1fcd8b2ed02dfd9c535,학교생활 행복도에 영향을 미치는 교육맥락변인 탐색,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf261&query=학교생활 행복도에 영향을 미치는 교육맥락변인 탐색,Y,Y,
68d0f1fcd8b2ed02dfd9c538,교사 학습공동체의 발달 단계 탐색,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf262&query=교사 학습공동체의 발달 단계 탐색,Y,Y,
68d0f1fcd8b2ed02dfd9c549,성취평가제에서의 이원목적분류표 작성 실태분석과 개선 방안 연구,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf263&query=성취평가제에서의 이원목적분류표 작성 실태분석과 개선 방안 연구,Y,Y,
68d0f1fdd8b2ed02dfd9ced9,다섯가지 초본성 조경식물의 생육상에 따른 적산온도 비교,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf264&query=다섯가지 초본성 조경식물의 생육상에 따른 적산온도 비교,Y,Y,
68d0f1fdd8b2ed02dfd9d856,양성 담도협착에서 완전 피막형 금속 스텐트 삽입의 효과,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf268&query=양성 담도협착에서 완전 피막형 금속 스텐트 삽입의 효과,Y,Y,
68d0f1fcd8b2ed02dfd9805f,한의계의 관점에서 본 보건의료 환경 변화와 건강보험심사평가원의 역할,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf167&query=한의계의 관점에서 본 보건의료 환경 변화와 건강보험심사평가원의 역할,Y,Y,HIRA Reseach의 도약 - 건강보험심사평가원
68d0f1fcd8b2ed02dfd9aa1e,보완통합의학교육과 보완통합의학에 대한 의과대학생의 태도,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf177&query=보완통합의학교육과 보완통합의학에 대한 의과대학생의 태도,Y,Y,의과대학생과 전공의를 위한 전문가적 행동규범 도출 - 한국의학교육학회
68d0f1fcd8b2ed02dfd9c218,말더듬는 사람에 대한 일반인의 신념과 지식: 연령과 성별 비교,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf255&query=말더듬는 사람에 대한 일반인의 신념과 지식: 연령과 성별 비교,Y,Y,연령과 성별에 따른 일반인의 말더듬는 사람에 대한 자기반응 비교
